fanuc,Series,31i-WB
fanuc,Series,21
fanuc,Series,0i-MB
fanuc,Series,0i
fanuc,Series,0i-tc
fanuc,Series,35i-B
fanuc,Series,31i-A
fanuc,Series,0i-TD
fanuc,Series,0i-D
fanuc,Series,18i-B
fanuc,Power Mate,i-D
fanuc,Power Mate,i-H
fanuc,Power Motion,i-A
fanuc,Power Motion,i-MA
siemens,808,808D
siemens,808,808D ADVANCED
siemens,828,828D
siemens,828,828D BASIC M
siemens,828,828D BASIC T
siemens,828,828D S7
siemens,840,840D
siemens,840,840D SL
siemens,840,840
mitsubishi,M700/M70 Series,E70
mitsubishi,M700/M70 Series,M70-A
mitsubishi,M700/M70 Series,M70-B
mitsubishi,M700/M70 Series,M720
mitsubishi,M700/M70 Series,M730
mitsubishi,M700/M70 Series,M750
mitsubishi,M80 Series,M80-B
